Step,Weights (Layer 1),Gradients (Layer 1),Output,Loss
1,[-0.35377315  0.24033314 -0.53706485 -0.39252108  0.5053028 ],[ 0.121341    0.55329263  0.06818821  0.10871347 -0.28919354],0.6374046,0.32076538
2,[-0.36867693  0.23643127 -0.5455667  -0.4062546   0.50656766],[ 0.14903784  0.03901872  0.08501848  0.13733514 -0.01264881],0.6634184,0.27273142
3,[-0.3813672   0.23309867 -0.5530611  -0.418248    0.5088814 ],[ 0.12690265  0.03332607  0.07494473  0.11993414 -0.02313724],0.80673915,0.22321899
4,[-0.39210334  0.23021469 -0.5595399  -0.428614    0.5119985 ],[ 0.1073615   0.02883993  0.06478775  0.10365982 -0.0311709 ],0.94391394,0.18190514
5,[-0.40120435  0.22774018 -0.56506395 -0.43756047  0.5157055 ],[ 0.09100997  0.02474497  0.05524061  0.08946493 -0.0370705 ],1.0679266,0.14800714
6,[-0.40894318  0.22560553 -0.5698011  -0.445275    0.5198901 ],[ 0.07738835  0.0213465   0.04737113  0.07714546 -0.0418461 ],1.1791266,0.12045396
7,[-0.41547862  0.22376959 -0.5738337  -0.45188808  0.52425516],[ 0.06535445  0.01835939  0.04032634  0.06613083 -0.04364997],1.2790661,0.0982899
8,[-0.42099246  0.22221005 -0.5772501  -0.45748985  0.5287792 ],[ 0.05513859  0.01559544  0.03416393  0.05601756 -0.04524074],1.3687861,0.080449216
9,[-0.42551622  0.220868   -0.58011955 -0.46221045  0.5331732 ],[ 0.04523768  0.01342037  0.02869447  0.04720589 -0.04393985],1.4490118,0.0663019
10,[-0.42924967  0.21970673 -0.58251214 -0.46615216  0.5374129 ],[ 0.03733467  0.01161278  0.02392616  0.03941703 -0.04239693],1.5207174,0.05501835
