Step,Weights (Layer 1),Gradients (Layer 1),Output,Loss
1,[ 0.46205887 -0.30744773 -0.34176743 -0.47089744  0.5945953 ],[ 0.25715047  0.46112737  0.03526331 -0.2049351  -0.07181387],0.34409723,0.6643082
2,[ 0.46111813 -0.36923525 -0.31679583 -0.52524024  0.59524906],[ 0.00188149  0.12357503 -0.0499432   0.1086856  -0.00130749],0.22791395,0.39698592
3,[ 0.40387967 -0.51096404 -0.32728934 -0.53671205  0.67177147],[ 0.11447691  0.28345764  0.02098702  0.02294361 -0.15304479],0.6514828,0.28316554
4,[ 0.41320205 -0.6342356  -0.35122865 -0.5618635   0.68156654],[-0.01864476  0.24654323  0.04787862  0.05030286 -0.01959016],0.6214751,0.26538384
5,[ 0.4198923 -0.5832042 -0.3460711 -0.5215145  0.702423 ],[-0.01338052 -0.10206284 -0.01031511 -0.08069799 -0.04171289],1.501322,0.2282448
6,[ 0.42400452 -0.7261559  -0.3199906  -0.60350966  0.7105138 ],[-0.00822445  0.28590336 -0.052161    0.16399032 -0.01618165],0.6284689,0.5141647
7,[ 0.38420963 -0.47328028 -0.23714055 -0.50761175  0.8272754 ],[ 0.07958978 -0.5057512  -0.16570011 -0.19179578 -0.23352328],2.087253,0.65899956
8,[ 0.37555736 -0.4588536  -0.20111224 -0.43570775  0.8223325 ],[ 0.01730452 -0.02885338 -0.07205664 -0.14380802  0.00988583],0.22430587,1.3812096
9,[ 0.38641948 -0.4588536  -0.20111224 -0.43570775  0.83421344],[-0.02172423  0.          0.          0.         -0.02376183],0.035882678,0.49083707
10,[ 0.40648162 -0.4588536  -0.20111224 -0.43570775  0.854843  ],[-0.04012428  0.          0.          0.         -0.04125917],0.083108045,0.4641996
