Step,Loss,Weights (Layer 1),Gradients (Layer 1),Outputs (Mean)
1,0.2936266362667084,-0.38957575894892216,-0.02840297147631645,-0.04602631871588528
2,0.18897941708564758,-0.3864530686289072,-0.015613459795713425,-0.002103953957557678
3,0.12294013798236847,-0.3843645367771387,-0.010442594438791275,-0.0010026288032531738
4,0.08274350315332413,-0.3823325429111719,-0.010160041600465774,-0.005368488542735576
5,0.06090395897626877,-0.38014563359320164,-0.010934548079967498,-0.004612199291586876
6,0.04985906183719635,-0.3779367242008448,-0.011044553946703672,-0.0002213038131594658
7,0.04407661780714989,-0.37547886110842227,-0.012289377069100738,0.0027767089754343033
8,0.040947720408439636,-0.37278943695127964,-0.013447080290643499,-0.0028709557652473448
9,0.03881413862109184,-0.37005992867052556,-0.013647506991401315,0.0006833473592996597
10,0.037164561450481415,-0.3674595657736063,-0.013001892855390907,-0.002573589012026787
