Step,Loss,Weights (Layer 1),Gradients (Layer 1),Outputs
1,0.42460603,[[ 0.53475916  0.66861075 -0.04008218  0.3541677  -0.558992  ]],[[-0.023693    0.02396639  0.         -0.00022703  0.10033005]],"[[-0.01137008]
 [ 0.01804573]
 [ 0.03254818]
 [ 0.03071493]
 [ 0.02870239]
 [ 0.02882404]
 [ 0.02709397]
 [ 0.03033124]
 [ 0.03255073]
 [ 0.03256563]
 [ 0.01078388]
 [-0.03357833]
 [-0.06133999]
 [-0.10441363]
 [-0.10449177]
 [-0.11681612]
 [-0.09777646]
 [-0.08645914]
 [-0.04787155]
 [-0.00564957]
 [-0.00089251]
 [ 0.03295659]
 [ 0.03330665]
 [ 0.03120207]
 [ 0.02795906]
 [ 0.02934597]
 [ 0.02949013]
 [ 0.03029516]
 [ 0.03296432]
 [ 0.03256563]
 [-0.01791216]
 [-0.01652141]
 [-0.06510992]
 [-0.0957287 ]
 [-0.12920459]
 [-0.1249222 ]
 [-0.09600158]
 [-0.08154121]
 [-0.05759456]
 [-0.01704565]
 [ 0.01051201]
 [ 0.0330898 ]
 [ 0.03113471]
 [ 0.0299449 ]
 [ 0.02917445]
 [ 0.02922154]
 [ 0.02808096]
 [ 0.03328853]
 [ 0.03324132]
 [ 0.02680068]
 [-0.01388818]
 [-0.06131788]
 [-0.06102644]
 [-0.09418198]
 [-0.10333766]
 [-0.12940985]
 [-0.10146391]
 [-0.07633997]
 [-0.04296624]
 [ 0.02649078]
 [ 0.03279126]
 [ 0.0323374 ]
 [ 0.03185484]
 [ 0.02983675]
 [ 0.02957207]
 [ 0.02984281]
 [ 0.0293817 ]
 [ 0.0317503 ]
 [ 0.03304691]
 [ 0.01376533]
 [-0.02461908]
 [-0.05631223]
 [-0.07716946]
 [-0.10341802]
 [-0.12070355]
 [-0.0924836 ]
 [-0.10929781]
 [-0.0797442 ]
 [-0.05938925]
 [ 0.00316117]
 [ 0.03273992]
 [ 0.0326864 ]
 [ 0.03089423]
 [ 0.02831225]
 [ 0.02949756]
 [ 0.02792   ]
 [ 0.0294328 ]
 [ 0.03316151]
 [ 0.03277183]
 [ 0.00418218]
 [-0.02413495]
 [-0.07275046]
 [-0.10069408]
 [-0.11361122]
 [-0.10220845]
 [-0.0899633 ]
 [-0.10005292]
 [-0.04245881]
 [-0.03358756]
 [-0.0003966 ]]"
2,0.38193336,[[ 0.54848063  0.6882411  -0.04008218  0.28631538 -0.62075615]],[[-0.02744288 -0.03926076  0.          0.1357046   0.1235283 ]],"[[-0.07154845]
 [-0.0272176 ]
 [ 0.01733793]
 [ 0.01486496]
 [ 0.0109173 ]
 [ 0.01115592]
 [ 0.00776232]
 [ 0.01411233]
 [ 0.01733871]
 [ 0.0075904 ]
 [-0.03620774]
 [-0.10666274]
 [-0.15017846]
 [-0.21769533]
 [-0.21781781]
 [-0.23713595]
 [-0.20729172]
 [-0.18955216]
 [-0.129067  ]
 [-0.06229711]
 [-0.05512148]
 [ 0.01795013]
 [ 0.0175726 ]
 [ 0.01582049]
 [ 0.00945923]
 [ 0.0121797 ]
 [ 0.01246247]
 [ 0.01404156]
 [ 0.01746667]
 [ 0.00857064]
 [-0.08210641]
 [-0.07992643]
 [-0.15608773]
 [-0.2040819 ]
 [-0.2565545 ]
 [-0.24984202]
 [-0.20450965]
 [-0.18184337]
 [-0.14430758]
 [-0.08074816]
 [-0.03663008]
 [ 0.0175055 ]
 [ 0.01568836]
 [ 0.01335452]
 [ 0.01184325]
 [ 0.01193563]
 [ 0.00969835]
 [ 0.01756699]
 [ 0.01777923]
 [-0.01419403]
 [-0.07579891]
 [-0.1501438 ]
 [-0.14968698]
 [-0.2016575 ]
 [-0.21600878]
 [-0.2568763 ]
 [-0.21307173]
 [-0.17369059]
 [-0.12137803]
 [-0.01465503]
 [ 0.01804936]
 [ 0.0172727 ]
 [ 0.01710093]
 [ 0.01314238]
 [ 0.0126232 ]
 [ 0.01315426]
 [ 0.0122498 ]
 [ 0.01689586]
 [ 0.01789593]
 [-0.03286622]
 [-0.09261933]
 [-0.14229757]
 [-0.17499074]
 [-0.21613473]
 [-0.24322942]
 [-0.19899529]
 [-0.22535118]
 [-0.17902662]
 [-0.14712073]
 [-0.0489703 ]
 [ 0.01656376]
 [ 0.01738069]
 [ 0.01521665]
 [ 0.01015202]
 [ 0.01247704]
 [ 0.00938261]
 [ 0.01235002]
 [ 0.01752769]
 [ 0.01780261]
 [-0.04695794]
 [-0.09186047]
 [-0.1680641 ]
 [-0.21186504]
 [-0.23211232]
 [-0.21423876]
 [-0.19504482]
 [-0.21086001]
 [-0.12058266]
 [-0.10667722]
 [-0.05437342]]"
3,0.29825017,[[ 0.55385435  0.68444544 -0.04008218  0.28335524 -0.6985713 ]],[[-0.0107474   0.00759136  0.          0.0059203   0.15563035]],"[[-0.05079113]
 [ 0.02638817]
 [ 0.12990186]
 [ 0.12990186]
 [ 0.1295831 ]
 [ 0.12981008]
 [ 0.126582  ]
 [ 0.12990186]
 [ 0.12990186]
 [ 0.08658024]
 [ 0.00834227]
 [-0.10551292]
 [-0.17116395]
 [-0.27302486]
 [-0.27320966]
 [-0.30235443]
 [-0.2573292 ]
 [-0.23056597]
 [-0.13931364]
 [-0.03624383]
 [-0.02496052]
 [ 0.1287552 ]
 [ 0.12990186]
 [ 0.12990186]
 [ 0.12819615]
 [ 0.12990186]
 [ 0.12990186]
 [ 0.12990186]
 [ 0.12990186]
 [ 0.08896144]
 [-0.06846544]
 [-0.06517653]
 [-0.1800791 ]
 [-0.25248665]
 [-0.3316507 ]
 [-0.32152373]
 [-0.25313196]
 [-0.21893597]
 [-0.16230667]
 [-0.06641628]
 [ 0.00734302]
 [ 0.12990186]
 [ 0.12990186]
 [ 0.12990186]
 [ 0.12988816]
 [ 0.12989247]
 [ 0.1284236 ]
 [ 0.12990186]
 [ 0.12990186]
 [ 0.04712786]
 [-0.05814321]
 [-0.17111164]
 [-0.17042243]
 [-0.248829  ]
 [-0.27048045]
 [-0.33213615]
 [-0.26604936]
 [-0.20663607]
 [-0.1277135 ]
 [ 0.04639374]
 [ 0.11321977]
 [ 0.12990186]
 [ 0.12990186]
 [ 0.12990186]
 [ 0.12990186]
 [ 0.12990186]
 [ 0.12990186]
 [ 0.12990186]
 [ 0.12990186]
 [ 0.01624831]
 [-0.084326  ]
 [-0.15927422]
 [-0.20859763]
 [-0.2706704 ]
 [-0.31154743]
 [-0.24481261]
 [-0.28457507]
 [-0.21468636]
 [-0.16655079]
 [-0.01528808]
 [ 0.10837824]
 [ 0.12990186]
 [ 0.12990186]
 [ 0.12885515]
 [ 0.12990186]
 [ 0.12812327]
 [ 0.12990186]
 [ 0.12990186]
 [ 0.11138765]
 [-0.01212375]
 [-0.08318113]
 [-0.19814757]
 [-0.26422885]
 [-0.2947754 ]
 [-0.26781008]
 [-0.23885262]
 [-0.26271263]
 [-0.12651354]
 [-0.10553475]
 [-0.02378426]]"
4,0.19723478,[[ 0.56135905  0.68993694 -0.04008218  0.27018622 -0.7552229 ]],[[-0.01500943 -0.01098304  0.          0.02633802  0.11330317]],"[[-0.22552866]
 [-0.10355401]
 [ 0.15519118]
 [ 0.16878614]
 [ 0.16819344]
 [ 0.1685177 ]
 [ 0.16355734]
 [ 0.16878614]
 [ 0.15516596]
 [-0.00913469]
 [-0.1319854 ]
 [-0.31385976]
 [-0.41968974]
 [-0.5838902 ]
 [-0.5841882 ]
 [-0.6311697 ]
 [-0.55858886]
 [-0.5154462 ]
 [-0.36834672]
 [-0.20280808]
 [-0.18518528]
 [ 0.05383127]
 [ 0.13933814]
 [ 0.168502  ]
 [ 0.16605088]
 [ 0.16878614]
 [ 0.16878614]
 [ 0.16878614]
 [ 0.14711884]
 [-0.00558443]
 [-0.25413895]
 [-0.2488372 ]
 [-0.43406102]
 [-0.55078244]
 [-0.6783956 ]
 [-0.6620709 ]
 [-0.5518228 ]
 [-0.49669853]
 [-0.40541175]
 [-0.25083566]
 [-0.13355973]
 [ 0.14426683]
 [ 0.16878614]
 [ 0.16878614]
 [ 0.16873963]
 [ 0.16876946]
 [ 0.16640225]
 [ 0.13975006]
 [ 0.09365237]
 [-0.07087854]
 [-0.23701143]
 [-0.4196054 ]
 [-0.41849443]
 [-0.54488635]
 [-0.57978857]
 [-0.679178  ]
 [-0.5726458 ]
 [-0.47687098]
 [-0.34964725]
 [-0.07203516]
 [ 0.03058343]
 [ 0.1572754 ]
 [ 0.16204719]
 [ 0.16878614]
 [ 0.16878614]
 [ 0.16878614]
 [ 0.16878614]
 [ 0.16308092]
 [ 0.06653088]
 [-0.1195294 ]
 [-0.2797063 ]
 [-0.4005234 ]
 [-0.48003307]
 [-0.58009493]
 [-0.64598894]
 [-0.53841186]
 [-0.60250926]
 [-0.48984823]
 [-0.4122533 ]
 [-0.17007849]
 [ 0.02336495]
 [ 0.15343538]
 [ 0.16878614]
 [ 0.1670689 ]
 [ 0.16878614]
 [ 0.16593829]
 [ 0.16878614]
 [ 0.14263695]
 [ 0.02785183]
 [-0.16513628]
 [-0.27786076]
 [-0.4631875 ]
 [-0.5697111 ]
 [-0.6189523 ]
 [-0.5754839 ]
 [-0.5288044 ]
 [-0.5672668 ]
 [-0.3477129 ]
 [-0.313895  ]
 [-0.18334815]]"
5,0.11721344,[[ 0.5631587   0.69180053 -0.04008218  0.26970354 -0.81842023]],[[-0.00359926 -0.00372719  0.          0.00096538  0.1263946 ]],"[[-0.15131465]
 [ 0.00868195]
 [ 0.341457  ]
 [ 0.341457  ]
 [ 0.341457  ]
 [ 0.341457  ]
 [ 0.34012726]
 [ 0.341457  ]
 [ 0.341457  ]
 [ 0.12960249]
 [-0.02757069]
 [-0.26764697]
 [-0.4044659 ]
 [-0.6167475 ]
 [-0.6171326 ]
 [-0.6778712 ]
 [-0.5840371 ]
 [-0.52826166]
 [-0.3380888 ]
 [-0.12203884]
 [-0.09933156]
 [ 0.2116961 ]
 [ 0.3211601 ]
 [ 0.341457  ]
 [ 0.341457  ]
 [ 0.341457  ]
 [ 0.341457  ]
 [ 0.341457  ]
 [ 0.33529925]
 [ 0.13438609]
 [-0.18975449]
 [-0.18158269]
 [-0.4230454 ]
 [-0.57394516]
 [-0.7389257 ]
 [-0.71782076]
 [-0.57528996]
 [-0.5040244 ]
 [-0.38600707]
 [-0.184663  ]
 [-0.02957812]
 [ 0.33183208]
 [ 0.341457  ]
 [ 0.341457  ]
 [ 0.341457  ]
 [ 0.341457  ]
 [ 0.341457  ]
 [ 0.32276332]
 [ 0.2620826 ]
 [ 0.05034611]
 [-0.16611046]
 [-0.40435696]
 [-0.4029206 ]
 [-0.5663225 ]
 [-0.6114449 ]
 [-0.7399374 ]
 [-0.6022103 ]
 [-0.478391  ]
 [-0.3139137 ]
 [ 0.04887134]
 [ 0.18219995]
 [ 0.341457  ]
 [ 0.341457  ]
 [ 0.341457  ]
 [ 0.341457  ]
 [ 0.341457  ]
 [ 0.341457  ]
 [ 0.341457  ]
 [ 0.22780897]
 [-0.01168817]
 [-0.22349262]
 [-0.3796873 ]
 [-0.48247886]
 [-0.6118408 ]
 [-0.6970298 ]
 [-0.55795217]
 [-0.64081854]
 [-0.49516815]
 [-0.39485198]
 [-0.0798662 ]
 [ 0.1730414 ]
 [ 0.341457  ]
 [ 0.341457  ]
 [ 0.341457  ]
 [ 0.341457  ]
 [ 0.341457  ]
 [ 0.341457  ]
 [ 0.32985064]
 [ 0.17873421]
 [-0.07349807]
 [-0.22110677]
 [-0.46070063]
 [-0.59841627]
 [-0.66207635]
 [-0.60587966]
 [-0.5455314 ]
 [-0.5952564 ]
 [-0.311413  ]
 [-0.2676924 ]
 [-0.09696439]]"
6,0.07216802,[[ 0.57043797  0.6919428  -0.04008218  0.26531616 -0.82962084]],[[-0.01455852 -0.00028457  0.          0.00877478  0.02240121]],"[[-2.60147572e-01]
 [-5.32944202e-02]
 [ 4.02474135e-01]
 [ 4.28931236e-01]
 [ 4.28607434e-01]
 [ 4.28931236e-01]
 [ 4.24303889e-01]
 [ 4.28931236e-01]
 [ 4.02392685e-01]
 [ 1.00401819e-01]
 [-9.93733406e-02]
 [-4.13127065e-01]
 [-5.93043685e-01]
 [-8.72193575e-01]
 [-8.72700095e-01]
 [-9.52571273e-01]
 [-8.29179764e-01]
 [-7.55835056e-01]
 [-5.05757928e-01]
 [-2.22293854e-01]
 [-1.92933381e-01]
 [ 2.08238780e-01]
 [ 3.51700068e-01]
 [ 4.28931236e-01]
 [ 4.26618546e-01]
 [ 4.28931236e-01]
 [ 4.28931236e-01]
 [ 4.28931236e-01]
 [ 3.89188975e-01]
 [ 1.06482059e-01]
 [-3.09850395e-01]
 [-2.99284220e-01]
 [-6.17475748e-01]
 [-8.15908670e-01]
 [-1.03285778e+00]
 [-1.00510478e+00]
 [-8.17677021e-01]
 [-7.23963022e-01]
 [-5.68770409e-01]
 [-3.03267121e-01]
 [-1.01924896e-01]
 [ 3.75855803e-01]
 [ 4.28931236e-01]
 [ 4.28931236e-01]
 [ 4.28931236e-01]
 [ 4.28931236e-01]
 [ 4.26944733e-01]
 [ 3.53718907e-01]
 [ 2.76088506e-01]
 [-3.37064266e-04]
 [-2.79278576e-01]
 [-5.92900395e-01]
 [-5.91011643e-01]
 [-8.05884838e-01]
 [-8.65220666e-01]
 [-1.03418803e+00]
 [-8.53077173e-01]
 [-6.90255165e-01]
 [-4.73967791e-01]
 [-2.21163034e-03]
 [ 1.68423951e-01]
 [ 4.09203023e-01]
 [ 4.24426436e-01]
 [ 4.28931236e-01]
 [ 4.28931236e-01]
 [ 4.28931236e-01]
 [ 4.28931236e-01]
 [ 4.26153839e-01]
 [ 2.29988441e-01]
 [-7.91858435e-02]
 [-3.55064273e-01]
 [-5.60459971e-01]
 [-6.95630789e-01]
 [-8.65741491e-01]
 [-9.77764726e-01]
 [-7.94878006e-01]
 [-9.03847098e-01]
 [-7.12317109e-01]
 [-5.80401301e-01]
 [-1.67764544e-01]
 [ 1.56061471e-01]
 [ 3.98061305e-01]
 [ 4.28931236e-01]
 [ 4.27563548e-01]
 [ 4.28931236e-01]
 [ 4.26514030e-01]
 [ 4.28931236e-01]
 [ 3.67867678e-01]
 [ 1.63745821e-01]
 [-1.59530520e-01]
 [-3.51926744e-01]
 [-6.66992307e-01]
 [-8.48088145e-01]
 [-9.31801081e-01]
 [-8.57902527e-01]
 [-7.78544664e-01]
 [-8.43932867e-01]
 [-4.70679283e-01]
 [-4.13186848e-01]
 [-1.89872622e-01]]"
7,0.06298184,[[ 0.57038915  0.69115895 -0.04008218  0.26531616 -0.90223664]],[[9.7660733e-05 1.5676669e-03 0.0000000e+00 0.0000000e+00 1.4523159e-01]],"[[-0.00566524]
 [ 0.20361164]
 [ 0.5951372 ]
 [ 0.5951372 ]
 [ 0.5951372 ]
 [ 0.5951372 ]
 [ 0.5951372 ]
 [ 0.5951372 ]
 [ 0.5951372 ]
 [ 0.35811967]
 [ 0.1572893 ]
 [-0.16153139]
 [-0.34037256]
 [-0.6178538 ]
 [-0.61835736]
 [-0.6977512 ]
 [-0.57509714]
 [-0.5021909 ]
 [-0.25360858]
 [ 0.03228629]
 [ 0.06172264]
 [ 0.46110898]
 [ 0.591647  ]
 [ 0.5951372 ]
 [ 0.5951372 ]
 [ 0.5951372 ]
 [ 0.5951372 ]
 [ 0.5951372 ]
 [ 0.5951372 ]
 [ 0.364232  ]
 [-0.05549645]
 [-0.04490304]
 [-0.36465865]
 [-0.5619053 ]
 [-0.7775579 ]
 [-0.7499706 ]
 [-0.5636634 ]
 [-0.47050935]
 [-0.31624448]
 [-0.04889613]
 [ 0.15472436]
 [ 0.5951372 ]
 [ 0.5951372 ]
 [ 0.5951372 ]
 [ 0.5951372 ]
 [ 0.5951372 ]
 [ 0.5951372 ]
 [ 0.5922418 ]
 [ 0.52489024]
 [ 0.25684872]
 [-0.0248456 ]
 [-0.34023023]
 [-0.33835268]
 [-0.5519416 ]
 [-0.61092263]
 [-0.77888006]
 [-0.59885186]
 [-0.43700284]
 [-0.2220084 ]
 [ 0.25496426]
 [ 0.42365676]
 [ 0.5951372 ]
 [ 0.5951372 ]
 [ 0.5951372 ]
 [ 0.5951372 ]
 [ 0.5951372 ]
 [ 0.5951372 ]
 [ 0.5951372 ]
 [ 0.48156804]
 [ 0.17758346]
 [-0.10381567]
 [-0.3079837 ]
 [-0.4423464 ]
 [-0.61144024]
 [-0.722794  ]
 [-0.5410004 ]
 [-0.64931816]
 [-0.45893306]
 [-0.32780594]
 [ 0.08695632]
 [ 0.41202784]
 [ 0.5951372 ]
 [ 0.5951372 ]
 [ 0.5951372 ]
 [ 0.5951372 ]
 [ 0.5951372 ]
 [ 0.5951372 ]
 [ 0.5951372 ]
 [ 0.41925618]
 [ 0.09521168]
 [-0.10069692]
 [-0.41387922]
 [-0.5938925 ]
 [-0.6771051 ]
 [-0.6036481 ]
 [-0.5247647 ]
 [-0.58976215]
 [-0.21873951]
 [-0.16159081]
 [ 0.06479126]]"
8,0.1426805,[[ 0.58164936  0.7154108  -0.04008218  0.23232338 -0.7618331 ]],[[-0.02252046 -0.04850378  0.          0.06598558 -0.28080717]],"[[-0.5015646 ]
 [-0.22058111]
 [ 0.44650295]
 [ 0.50210154]
 [ 0.53378236]
 [ 0.53378236]
 [ 0.53063184]
 [ 0.50996935]
 [ 0.44612575]
 [-0.01449192]
 [-0.28236783]
 [-0.71486294]
 [-0.9649453 ]
 [-1.3529607 ]
 [-1.3536646 ]
 [-1.4646846 ]
 [-1.2931718 ]
 [-1.1912235 ]
 [-0.843619  ]
 [-0.44988352]
 [-0.4097979 ]
 [ 0.13010535]
 [ 0.33279055]
 [ 0.49211234]
 [ 0.5330475 ]
 [ 0.5301731 ]
 [ 0.52721703]
 [ 0.5107092 ]
 [ 0.38497734]
 [-0.00633895]
 [-0.5694233 ]
 [-0.5549973 ]
 [-0.9989058 ]
 [-1.2747252 ]
 [-1.5762821 ]
 [-1.5377055 ]
 [-1.2771832 ]
 [-1.1469218 ]
 [-0.93120575]
 [-0.5604353 ]
 [-0.28578913]
 [ 0.36642504]
 [ 0.49349362]
 [ 0.5178917 ]
 [ 0.53369045]
 [ 0.53272474]
 [ 0.5333783 ]
 [ 0.33560562]
 [ 0.22204581]
 [-0.1495713 ]
 [-0.527684  ]
 [-0.96474624]
 [-0.9621209 ]
 [-1.2607921 ]
 [-1.3432683 ]
 [-1.5781311 ]
 [-1.3263891 ]
 [-1.100068  ]
 [-0.7994311 ]
 [-0.15208489]
 [ 0.07671818]
 [ 0.45617625]
 [ 0.47447693]
 [ 0.52010936]
 [ 0.5255368 ]
 [ 0.51998514]
 [ 0.52944046]
 [ 0.47844148]
 [ 0.15926915]
 [-0.2552986 ]
 [-0.6341566 ]
 [-0.91965437]
 [-1.1075402 ]
 [-1.3439921 ]
 [-1.4997033 ]
 [-1.2454927 ]
 [-1.3969584 ]
 [-1.1307337 ]
 [-0.94737256]
 [-0.37543535]
 [ 0.06014147]
 [ 0.42606634]
 [ 0.4984248 ]
 [ 0.53378236]
 [ 0.5270647 ]
 [ 0.5329415 ]
 [ 0.5283927 ]
 [ 0.35533452]
 [ 0.07044527]
 [-0.36419356]
 [-0.62979543]
 [-1.0677329 ]
 [-1.3194543 ]
 [-1.4358141 ]
 [-1.3330961 ]
 [-1.2227896 ]
 [-1.3136786 ]
 [-0.79486   ]
 [-0.7149464 ]
 [-0.40561903]]"
9,0.73652506,[[ 0.58435243  0.7151445  -0.04008218  0.2323365  -0.9873884 ]],"[[-5.4061310e-03  5.3266878e-04  0.0000000e+00 -2.6255508e-05
   4.5111063e-01]]","[[0.74321944]
 [0.88127977]
 [0.8902654 ]
 [0.8902654 ]
 [0.8902654 ]
 [0.8902654 ]
 [0.8897216 ]
 [0.8902654 ]
 [0.8902654 ]
 [0.8902654 ]
 [0.85096604]
 [0.63905734]
 [0.53052855]
 [0.36214066]
 [0.36183512]
 [0.31365556]
 [0.3880874 ]
 [0.43233013]
 [0.5831808 ]
 [0.7667798 ]
 [0.78463346]
 [0.8902654 ]
 [0.8902654 ]
 [0.8902654 ]
 [0.8902654 ]
 [0.8902654 ]
 [0.8902654 ]
 [0.8902654 ]
 [0.8902654 ]
 [0.8902654 ]
 [0.7105526 ]
 [0.7174971 ]
 [0.5157907 ]
 [0.39609268]
 [0.26522523]
 [0.2819664 ]
 [0.39502597]
 [0.45155582]
 [0.5451706 ]
 [0.7148794 ]
 [0.84928745]
 [0.8902654 ]
 [0.8902654 ]
 [0.8902654 ]
 [0.8902654 ]
 [0.8902654 ]
 [0.8902654 ]
 [0.8902654 ]
 [0.8902654 ]
 [0.8901006 ]
 [0.7306458 ]
 [0.5306149 ]
 [0.5317543 ]
 [0.4021392 ]
 [0.36634684]
 [0.26442283]
 [0.37367195]
 [0.47188908]
 [0.60235715]
 [0.89006144]
 [0.8902654 ]
 [0.8902654 ]
 [0.8902654 ]
 [0.8902654 ]
 [0.8902654 ]
 [0.8902654 ]
 [0.8902654 ]
 [0.8902654 ]
 [0.8902654 ]
 [0.86424667]
 [0.6770627 ]
 [0.55018365]
 [0.4686463 ]
 [0.36603272]
 [0.2984584 ]
 [0.40877873]
 [0.34304684]
 [0.4585809 ]
 [0.5381546 ]
 [0.8039024 ]
 [0.8902654 ]
 [0.8902654 ]
 [0.8902654 ]
 [0.8902654 ]
 [0.8902654 ]
 [0.8902654 ]
 [0.8902654 ]
 [0.8902654 ]
 [0.8902654 ]
 [0.81020623]
 [0.6794801 ]
 [0.4859215 ]
 [0.37668145]
 [0.32618445]
 [0.37076128]
 [0.4186313 ]
 [0.37918794]
 [0.6043409 ]
 [0.6390213 ]
 [0.78697675]]"
10,0.72600836,[[ 0.6011932   0.73778236 -0.04008218  0.23164558 -0.65257174]],[[-0.03368157 -0.04527572  0.          0.00138185 -0.66963327]],"[[-1.0071112 ]
 [-0.68083537]
 [ 0.08922446]
 [ 0.18501559]
 [ 0.19556439]
 [ 0.19556439]
 [ 0.19410482]
 [ 0.19556439]
 [ 0.0887953 ]
 [-0.444988  ]
 [-0.7515435 ]
 [-1.2509824 ]
 [-1.5318736 ]
 [-1.9676908 ]
 [-1.9684814 ]
 [-2.0931787 ]
 [-1.9005362 ]
 [-1.7860283 ]
 [-1.3956004 ]
 [-0.94844306]
 [-0.90293825]
 [-0.27951175]
 [-0.04706898]
 [ 0.16270356]
 [ 0.19556439]
 [ 0.19556439]
 [ 0.19556439]
 [ 0.19556439]
 [ 0.01634963]
 [-0.43565786]
 [-1.0841436 ]
 [-1.0677675 ]
 [-1.5700177 ]
 [-1.8798169 ]
 [-2.2185245 ]
 [-2.1751957 ]
 [-1.882578  ]
 [-1.7362689 ]
 [-1.4939774 ]
 [-1.0739404 ]
 [-0.75545895]
 [-0.00637756]
 [ 0.16578884]
 [ 0.19556439]
 [ 0.19556439]
 [ 0.19556439]
 [ 0.19556439]
 [-0.04361632]
 [-0.1742956 ]
 [-0.5995721 ]
 [-1.0367615 ]
 [-1.5316501 ]
 [-1.5287012 ]
 [-1.8641676 ]
 [-1.9568044 ]
 [-2.2206016 ]
 [-1.9378458 ]
 [-1.683643  ]
 [-1.3459688 ]
 [-0.6024486 ]
 [-0.34060776]
 [ 0.11070254]
 [ 0.1328052 ]
 [ 0.19556439]
 [ 0.19556439]
 [ 0.19556439]
 [ 0.19556439]
 [ 0.13759333]
 [-0.24613681]
 [-0.72056574]
 [-1.1603332 ]
 [-1.4810029 ]
 [-1.6920356 ]
 [-1.9576174 ]
 [-2.1325116 ]
 [-1.8469833 ]
 [-2.017109  ]
 [-1.7180866 ]
 [-1.5121362 ]
 [-0.8613218 ]
 [-0.359578  ]
 [ 0.0659743 ]
 [ 0.17680322]
 [ 0.19556439]
 [ 0.19556439]
 [ 0.19556439]
 [ 0.19556439]
 [-0.01941952]
 [-0.34778643]
 [-0.8466177 ]
 [-1.1554347 ]
 [-1.6473244 ]
 [-1.9300565 ]
 [-2.0607514 ]
 [-1.9453791 ]
 [-1.8214833 ]
 [-1.9235693 ]
 [-1.3408346 ]
 [-1.2510759 ]
 [-0.89819443]]"
